Assigned SE,Company / Account,Activity Type,Date,Need SE Assigned?
SE5,Company189,Discovery,6/14/2023,Yes
SE5,Company133,Deal Progression Call,6/5/2023,
SE5,Company133,Deal Progression Call,6/5/2023,
SE5,Company196,Deal Progression Call,6/6/2023,
SE5,Company196,Deal Progression Call,6/6/2023,
SE5,Company205,Discovery,6/7/2023,
SE5,Company205,Discovery,6/7/2023,
SE5,Company205,Discovery,6/7/2023,
SE5,Company205,Discovery,6/13/2023,
SE5,Company205,Discovery,6/13/2023,
SE5,Company205,Discovery,6/13/2023,
SE5,Company8,New Business Meeting,6/13/2023,No
SE5,Company8,New Business Meeting,6/13/2023,No
SE5,Company8,New Business Meeting,6/13/2023,No
SE5,Company8,New Business Meeting,6/15/2023,No
SE5,Company28,Discovery,4/4/2023,No
SE5,Company28,Discovery,4/4/2023,No
SE5,Company122,Discovery,6/13/2023,No
SE5,Company122,Discovery,6/13/2023,No
SE5,Company68,Discovery,6/22/2023,No
SE5,Company68,Discovery,6/22/2023,No
SE5,Company196,Deal Progression Call,6/13/2023,
SE5,Company244,Deal Progression Call,6/15/2023,
SE5,Company196,Deal Progression Call,6/14/2023,
SE5,Company133,Deal Progression Call,6/14/2023,
SE5,Company133,Deal Progression Call,6/14/2023,
SE5,Company196,Deal Progression Call,6/15/2023,
SE5,Company196,Deal Progression Call,6/15/2023,
SE5,Company196,Deal Progression Call,6/15/2023,
SE5,Company69,Deal Progression Call,6/14/2023,
SE5,Company69,Deal Progression Call,6/14/2023,
SE5,Company8,Deal Progression Call,6/27/2023,No
SE5,Company8,Deal Progression Call,6/27/2023,No
SE5,Company260,New Business Meeting,6/29/2023,Yes
SE5,Company260,New Business Meeting,6/29/2023,Yes
SE5,Company26,Discovery,6/27/2023,
SE5,Company24,Deal Progression Call,6/26/2023,
SE5,Company229,Discovery,6/26/2023,
SE5,Company158,Deal Progression Call,6/30/2023,Yes
SE5,Company158,Deal Progression Call,6/30/2023,Yes
SE5,Company229,Deal Progression Call,6/28/2023,
SE4,Company12,Other,1/13/2023,Yes
SE4,Company31,Discovery,1/17/2023,Yes
SE4,Company268,Discovery,1/11/2023,
SE4,Company151,Deal Progression Call,1/12/2023,
SE4,Company212,New Business Meeting,1/18/2023,Yes
SE4,Company7,Discovery,1/16/2023,
SE4,Company119,Deal Progression Call,1/16/2023,
SE4,Company88,Discovery,1/20/2023,Yes
SE4,Company268,New Business Meeting,1/18/2023,
SE4,Company119,Deal Progression Call,1/23/2023,
SE4,Company7,Other,1/20/2023,
SE4,Company120,New Business Meeting,2/15/2023,
SE4,Company120,New Business Meeting,2/15/2023,
SE4,Company120,New Business Meeting,2/15/2023,
SE4,Company67,Other,1/25/2023,
SE4,Company212,Discovery,1/26/2023,
